ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2394860,FINLUX,WM3228SCH,,8698902064422,Front Load,,"Hand Wash Cycle,Steam Cycle,Sanitize Option,Perm Press",Residential,2.2,33.25,23.5,23.50,2.07,1.84,110,4.2,4.7,2713,,,,,,,,"Sanitization cycle,Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display,Energy monitor/indicator",No,,,,Yes,ES_1142648_DR4409DSCH_031420221507222_7090010,03/01/2022,04/15/2022,Canada,ES_1142648_WM3228SCH_022220221407348_1828599,No
2393288,Frigidaire,FWFX22D4EW,,012505388637,Front Load,,"Delayed Start,Gentle Cycle",Residential,4.4,38.00,27.0,32.00,2.76,1.84,50,3.2,4.7,4154,,,,,,,,None,No,,,,Yes,ES_1021080_ELFE7337***_030820222037470_3587891,03/11/2022,02/23/2022,United States,ES_1021080_FWFX22D4EW_02242022115137_80116962,No
2453239,FULGOR MILANO,FM4WM24W1,,8019801032594,Front Load,,"Hand Wash Cycle,Steam Cycle,Sanitize Option,Drum Clean",Residential,2.2,33.25,23.5,23.50,2.07,1.84,110,4.2,4.7,2713,,,,,,,,None,No,,,,Yes,ES_1136869_FM4CD24W1_033120231746250_2275090,04/01/2023,04/12/2023,"United States, Canada",ES_1136869_FM4WM24W1_033120231710456_7306654,No
2324849,GE,GFW148S*M***,",,Color: White / White",084691826651,Front Load,,"Gentle Cycle,Steam Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,2.4,,23.4,,2.07,1.84,97,4.2,4.7,2961,,,,,,,,,No,,,,Yes,ES_1123206_GFT14ES*M***_08292018161048_9048548,08/27/2018,08/27/2018,"United States, Canada",ES_1123206_GFW148S*M***_08272018155407_5247195,No
3814888,GE,GFW350S*Y***,",GFW350SPYDS,; ,GFW350SSYWW,",084691962694;084691962700,Front Load,,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.6,39.75,28.0,32.00,2.76,1.84,150,3,4.7,4044,,,,,,,,,No,,,,No,,12/09/2024,11/26/2024,"United States, Canada",ES_1123206_GFW350S*Y***_112120242148304_4144587,No
2351443,GE,GFW510S*N***,",GFW510SCNWW,Color: White; UPC 084691849377",084691849377,Front Load,,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.5,,28.0,,2.76,1.84,150,3,4.7,3983,,,,,,,,,No,,,,Yes,"ES_1123206_GFV55ES*N***_03112020143611_7371251, ES_1123206_GFV55ES*N***_03112020143551_7351317",01/13/2020,12/18/2019,"United States, Canada",ES_1123206_GFW510S*N***_12182019134400_6640243,No
2508135,GE,GFW510S*V***,",GFW510SCVWW,",084691928034,Front Load,,Sanitize Option,Residential,4.6,39.80,28.0,32.00,2.76,1.84,150,3,4.7,4044,,,,,,,,,No,,,,No,,06/16/2023,06/08/2023,"United States, Canada",ES_1123206_GFW510S*V***_06072023154253_8130897,No
2350140,GE,GFW550S*N***,",GFW550SPNDG,Color: Diamond Gray; UPC 084691849322; ,GFW550SSNWW,Color: White; UPC 084691849339",,Front Load,,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.8,,28.0,,2.76,1.84,158,3,4.7,4239,,,,,,,,,No,,,,Yes," ES_1123206_GFD55ES*N***_01282020203606_3766726, ES_1123206_GFV55ES*N***_03112020143551_7351317,ES_1123206_GFD55ES*N***_01282020203519_3719066, ES_1123206_GFV55ES*N***_03112020143611_7371251",11/25/2019,11/21/2019,"United States, Canada",ES_1123206_GFW550S*N***_11212019143018_6618069,No
2389000,GE,GFW550S*R***,",GFW550SPRRS,Sapphire Blue",084691881186,Front Load,,Sanitize Option,Residential,4.8,39.75,28.0,32.00,2.76,1.84,158,3,4.7,4239,,,,,,,,,No,,,,Yes,"ES_1123206_GFD55ES*N***_01282020203519_3719066, ES_1123206_GFD55ES*N***_01282020203606_3766726, ES_1123206_GFD55GS*N***_02112020185320_7200902",12/14/2021,12/08/2021,"United States, Canada",ES_1123206_GFW550S*R***_120620210917635_3407642,No
2346259,GE,GFW650S*N***,"H48F_4_NA,GFW650SPNSN,Color: Nickel; UPC 084691849308; H48F_4_NA,GFW650SSNWW,Color: White; UPC 084691849315",084691849315,Front Load,,"Steam Cycle,Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.8,,28.0,,2.76,1.84,158,3,4.7,4239,,,,,,,,,No,,,,Yes," ES_1123206_GFD65ES*N***_10172019151040_5040437,ES_1123206_GFD65ES*N***_10172019150732_4852672",09/16/2019,09/12/2019,"United States, Canada",ES_1123206_GFW650S*N***_09122019155821_3901966,No
