ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Width (inches),Depth (inches),Capacity - Maximum Number of Place Settings,Soil-Sensing Capability,Tub Material,Drying Method,Additional Product Features,Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),% Better than US Federal Standard (kWh/yr),Water Use (gallons/cycle),US Federal Standard (gallons/cycle),% Better than US Federal Standard (gallons/cycle),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Direct on-premises Open-standard Based Interconnection,Date Available On Market, Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2581754,Bertazzoni,DW24T3IXT,,8057971102112,Standard,23.6,22.5,15,Yes,Stainless Steel,Fan-Assisted Dry,Third Rack,234,307,24,3,5,40,No,,,,,08/15/2023,07/18/2023,"United States, Canada",ES_1133661_DW24T3IXT_071720231431460_8708199,No
2581757,Bertazzoni,DW24T3IXV,,8057971102136,Standard,23.6,22.5,15,No,Stainless Steel,Fan-Assisted Dry,Third Rack,234,307,24,3,5,40,No,,,,,08/15/2023,07/18/2023,"United States, Canada",ES_1133661_DW24T3IXV_071720231431843_5079022,No
2587147,BIG CHILL,BC24DW,,8690842556258,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Top Controls,225,307,27,2.37,5,53,No,,,,,03/26/2018,07/19/2023,"United States, Canada",ES_1141510_BC24DW_071320232232800_6651286,Yes
3701843,BLACK+DECKER,BCD6SD,,810064695629,Compact,21.7,19.7,6,Yes,Hybrid (Plastic & Steel),Air Dry,None,155,222,30,2,3.5,43,No,,,,,10/10/2024,10/18/2023,"United States, Canada",ES_1126481_BCD6SD_10102024113123_80228176,No
2507610,BLACK+DECKER,BCD6W,,819813014551,Compact,21.7,19.7,6,Yes,Hybrid (Plastic & Steel),Air Dry,None,155,222,30,2,3.5,43,No,,,,,04/01/2023,04/14/2023,"United States, Canada",ES_0092264_BCD6W_05292023110806_80164647,No
3845265,BLACK+DECKER,BDW100M*,",,Remark * could be A-Z, a-z, 0-9, - or blank",810064696695;810064696701;810064696718,Standard,23.6,22.7,12,Yes,Hybrid (Plastic & Steel),Heated Dry,None,240,307,22,3.2,5,36,No,,,,,11/20/2024,12/11/2024,"United States, Canada",ES_1126481_BDW100M*_121120240736865_9850245,No
3891910,BLACK+DECKER,BDW200M*,",,Remark: * could be A-Z, a-z, 0-9, - or blank",810064696725;810064696732;810064696749,Standard,23.9,24.5,12,Yes,Stainless Steel,Heated Dry,None,240,307,22,3.2,5,36,No,,,,,12/01/2024,12/23/2024,"United States, Canada",ES_1126481_BDW200M*_122320240734874_7440530,No
3891908,BLACK+DECKER,BDW300MHS,,810064696756,Standard,23.9,24.5,12,Yes,Stainless Steel,Heated Dry,None,240,307,22,3.2,5,36,No,,,,,12/01/2024,12/23/2024,"United States, Canada",ES_1126481_BDW300MHS_122320240728334_4107277,No
3891909,BLACK+DECKER,BDW400MS,,810064696763,Standard,23.9,24.5,14,Yes,Stainless Steel,Heated Dry,None,240,307,22,3.2,5,36,No,,,,,12/01/2024,12/23/2024,"United States, Canada",ES_1126481_BDW400MS_122320240726866_1622878,No
3891906,BLACK+DECKER,BDW500MHS,,810064696770,Standard,23.9,24.5,14,Yes,Stainless Steel,Heated Dry,None,240,307,22,3.2,5,36,No,,,,,12/01/2024,12/23/2024,"United States, Canada",ES_1126481_BDW500MHS_122320240728444_8227205,No
2507612,BLACK+DECKER,BPD8B,,810064691157,Standard,17.6,23.6,8,Yes,Stainless Steel,Air Dry,None,240,307,22,3.2,5,36,No,,,,,04/01/2023,04/14/2023,"United States, Canada",ES_0092264_BPD8B_05292023110806_80164647,No
2507611,BLACK+DECKER,BPD8W,,810064691140,Standard,17.6,23.6,8,Yes,Stainless Steel,Air Dry,None,240,307,22,3.2,5,36,No,,,,,04/01/2023,04/14/2023,"United States, Canada",ES_0092264_BPD8W_05292023110806_80164647,No
2583304,Blomberg,DW 51600 ****,"DW 51600 FBI,DW 51600 FBI,; DW 51600 SS,DW 51600 SS,",8690842175077;8690842175305,Standard,59.8,55,12,Yes,Stainless Steel,Condensation Dry,Top Controls,234,307,24,2.66,5,47,No,,,,,11/15/2017,07/18/2023,"United States, Canada",ES_1036108_DW 51600 ****_12222017221251_0771123,No
2583159,Blomberg,DWS 51502 ****,"DWS 51502 FBI,DWS 51502 FBI,; DWS 51502 SS,DWS 51502 SS,",8690842266942;8690842266966,Standard,44.8,57,8,Yes,Stainless Steel,Condensation Dry,Top Controls,220,307,28,2.4,5,52,No,,,,,07/30/2019,07/18/2023,"United States, Canada",ES_1036108_DWS 51502 ****_06112019181526_6926272,Yes
2583308,Blomberg,DWT 25504 ****,"DWT 25504 SS,DWT 25504 SS,",8690842213052,Standard,59.8,55,12,Yes,Stainless Steel,Condensation Dry,Top Controls,234,307,24,2.66,5,47,No,,,,,11/15/2017,07/18/2023,"United States, Canada",ES_1036108_DWT 25504 ****_06012018175508_5708843,No
2583309,Blomberg,DWT 51600 ****,"DWT 51600 FBI,DWT 51600 FBI,; DWT 51600 SS,DWT 51600 SS,",8690842172212;8690842172243,Standard,59.8,55,12,Yes,Stainless Steel,Condensation Dry,Top Controls,234,307,24,2.66,5,47,No,,,,,11/15/2017,07/18/2023,"United States, Canada",ES_1036108_DWT 51600 ****_12222017221455_0895801,No
2583305,Blomberg,DWT 52600 ****,"DWT 52600 BIH,DWT 52600 BIH,; DWT 52600 SSIH,DWT 52600 SSIH,; DWT 52600 WIH,DWT 52600 WIH,",8690842175121;8690842175145;8690842175886,Standard,59.8,55,12,Yes,Stainless Steel,Condensation Dry,Top Controls,234,307,24,2.66,5,47,No,,,,,11/15/2017,07/18/2023,"United States, Canada",ES_1036108_DWT 52600 ****_12222017221545_0945739,No
2587145,Blomberg,DWT 52800 ****,"DWT 52800 SSIH,DWT 52800 SSIH,",8690842176012,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Front Controls,225,307,27,2.36,5,53,No,,,,,12/29/2017,07/19/2023,"United States, Canada",ES_1036108_DWT 52800 ****_12222017203415_4855101,Yes
2587151,Blomberg,DWT 81800 ****,"DWT 81800 FBI,DWT 81800 FBI,; DWT 81800 SS,DWT 81800 SS,; DWT 81800 SSIH,DWT 81800 SSIH,",8690842172274;8690842175527;8690842175763,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Front Controls,225,307,27,2.36,5,53,No,,,,,12/29/2017,07/19/2023,"United States, Canada",ES_1036108_DWT 81800 ****_12222017203457_4897478,Yes
2587148,Blomberg,DWT 81900 ****,"DWT 81900 SS,DWT 81900 SS,",8690842171277,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Top Controls,225,307,27,2.37,5,53,No,,,,,03/26/2018,07/19/2023,"United States, Canada",ES_1036108_DWT 81900 ****_02132018200208_2128888,Yes
2631718,Blomberg,DWT 81900 ***WS,"DWT 81900 SSWS,DWT 81900 SSWS,",8690842175305,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Top Controls,239,307,22,3.02,5,40,No,,,,,11/15/2017,07/31/2023,"United States, Canada",ES_1036108_DWT 81900 ***WS_02132018200625_2385163,No
4429308,BlueStar,BS24DW,,8690842556258,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Top Controls,225,307,27,2.37,5,53,No,,,,,03/31/2025,05/30/2025,"United States, Canada",ES_1141510_BS24DW_052820252231812_9113543,Yes
3417861,Bosch,DWHD640EFP,",DWHD640EFM,; ,DWHD640EPR,",825225971504;825225971849;825225972174,Standard,24,34,16,Yes,Stainless Steel,Condensation Dry,"Cycle Status Lights,Third Rack",240,307,22,2.45,5,51,Yes,,,"Wifi,Application",,03/01/2024,03/11/2024,"United States, Canada",ES_31649_DWHD640EFP_03112024064825_8076288,No
3417889,Bosch,DWHD660EFP,",DWHD660EFM,; ,DWHD660EPR,",825225971511;825225971528;825225972181,Standard,24,34,16,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,2.3,5,54,Yes,,,"Wifi,Application",,03/01/2024,03/11/2024,"United States, Canada",ES_31649_DWHD660EFP_03112024074553_2874719,No
3398257,Bosch,DWHD661EFP,",DWHD661EFM,; ,DWHD661EPR,",825225971498;825225971832;825225972189,Standard,24,34,16,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",213,307,31,2.35,5,53,No,,,,,03/01/2024,02/06/2024,"United States, Canada",ES_31649_DWHD661EFP_01312024095606_1239435,Yes
2624463,Bosch,SGE53C56UC,",SGE53C52UC,; ,SGE53C55UC,; ,SGV43C53UC,",825225970378;825225970408;825225970415;825225970422,Standard,24,32,13,Yes,Stainless Steel,Condensation Dry,"Top Controls,Cycle Status Lights,Third Rack",239,307,22,2.57,5,49,No,,,,,09/01/2023,07/28/2023,"United States, Canada",ES_31649_SGE53C56UC_07242023115135_3369104,No
2624394,Bosch,SGX78C55UC,",SGE78C55UC,; ,SGV78C53UC,",825225970361;825225970385;825225970392,Standard,24,32,15,Yes,Stainless Steel,Mineral Dry,"Top Controls,Cycle Status Lights,Third Rack",239,307,22,3.18,5,36,No,,,,,09/01/2023,07/28/2023,"United States, Canada",ES_31649_SGX78C55UC_07242023133525_7466699,No
2453242,Bosch,SHE3AEE**,",SHE3AEE**,**-Cosmetic differences only.",825225971030,Standard,23.6,22.6,12,Yes,Hybrid (Plastic & Steel),Condensation Dry,"Top Controls,Front Controls,Cycle Status Lights,Third Rack",239,307,22,3.2,5,36,Yes,,,,,05/30/2023,04/12/2023,"United States, Canada",ES_31649_SHE3AEE**_03302023110014_8881326,No
2407864,Bosch,SHE53CE**,",SHE53CE**,**-Only cosmetic differences in the units.",825225970231,Standard,24,34,13,Yes,Stainless Steel,Condensation Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,02/03/2023,"United States, Canada",ES_31649_SHE53CE**_02032023082643_1071252,No
2453240,Bosch,SHE5AE7**,",SHE5AEH5N,",825225968986,Standard,23.6,22.6,12,Yes,Hybrid (Plastic & Steel),Condensation Dry,"Top Controls,Front Controls,Cycle Status Lights,Third Rack",239,307,22,3.2,5,36,Yes,,,,,05/30/2023,03/15/2024,"United States, Canada",ES_31649_SHE5AE7**_03302023110013_8716699,No
2407867,Bosch,SHE78CM**,",SHP78CF5N,",825225965329,Standard,24,34,13,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,12/28/2022,"United States, Canada",ES_31649_SHE78CM**_12252022174327_212060,No
2407858,Bosch,SHP55CM**,,825225965831,Standard,24,34,13,Yes,Stainless Steel,Condensation Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,02/03/2023,"United States, Canada",ES_31649_SHP55CM**_02032023082642_8931086,No
4005675,Bosch,SHP55DM**,,825225975700,Standard,24,34,16,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,2.3,5,54,Yes,,,Wifi Communication,,04/18/2025,03/24/2025,"United States, Canada",ES_31649_SHP55DM**_03242025074609_4747888,No
2407857,Bosch,SHP65CD**,,825225965275,Standard,24,34,13,Yes,Stainless Steel,Condensation Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,02/03/2023,"United States, Canada",ES_31649_SHP65CD**_02032023082642_6245233,No
2407861,Bosch,SHP65CM**,,825225965848;825225965855;825225965862,Standard,24,34,13,Yes,Stainless Steel,Condensation Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,02/03/2023,"United States, Canada",ES_31649_SHP65CM**_02032023082642_5343270,No
2407862,Bosch,SHP65CP**,,825225965879,Standard,24,34,13,Yes,Stainless Steel,Condensation Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,02/03/2023,"United States, Canada",ES_31649_SHP65CP**_02032023082642_7099839,No
4497590,Bosch,SHP65DC**,,825225982036,Standard,24,34,16,Yes,Stainless Steel,Condensation Dry,"Cycle Status Lights,Third Rack",225,307,27,2.35,5,53,No,,,,,09/01/2025,08/29/2025,"United States, Canada",ES_31649_SHP65DC**_08292025093758_3605615,Yes
4005674,Bosch,SHP65DM**,",SHP65DP**,",825225973225;825225975717;825225975724;825225975830;825225975847,Standard,24,34,16,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,2.3,5,54,Yes,,,Wifi Communication,,04/18/2025,03/24/2025,"United States, Canada",ES_31649_SHP65DM**_03242025075811_4300195,No
2408137,Bosch,SHP78CM**,,825225965893;825225965909;825225965916;825225965954,Standard,24,34,13,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,12/28/2022,"United States, Canada",ES_31649_SHP78CM**_12252022174327_6770746,No
2407868,Bosch,SHP78CP**,,825225965923,Standard,24,34,13,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,12/28/2022,"United States, Canada",ES_31649_SHP78CP**_12252022174328_6098886,No
2407874,Bosch,SHP9PCM**,,825225964971,Standard,24,34,13,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,02/03/2023,"United States, Canada",ES_31649_SHP9PCM**_12282022073148_214502,No
4429179,Bosch,SHV41DB3N,",SHV41DB**,",825225981978,Standard,24,34,12,Yes,Hybrid (Plastic & Steel),Condensation Dry,"Cycle Status Lights,Third Rack",213,307,31,2.35,5,53,No,,,,,06/02/2025,05/28/2025,"United States, Canada",ES_31649_SHV41DB3N_05282025090449_1599084,Yes
2453241,Bosch,SHV4AEB**,",SHV4AEB**,**-Cosmetic differences only.",825225968269,Standard,23.6,22.6,12,Yes,Hybrid (Plastic & Steel),Condensation Dry,"Top Controls,Front Controls,Cycle Status Lights,Third Rack",239,307,22,3.2,5,36,Yes,,,,,05/30/2023,04/12/2023,"United States, Canada",ES_31649_SHV4AEB**_03302023110013_2590296,No
2407869,Bosch,SHV78CM**,,825225966043,Standard,24,34,13,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,12/28/2022,"United States, Canada",ES_31649_SHV78CM**_12252022174328_4413377,No
2407875,Bosch,SHV9PCM**,",SHV9PCM**,1st * - Color Code, 2nd * - Country Code",825225965008,Standard,24,34,13,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,02/03/2023,"United States, Canada",ES_31649_SHV9PCM**_12282022073148_7785151,No
2407863,Bosch,SHX65CM**,,825225965886,Standard,24,34,13,Yes,Stainless Steel,Condensation Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,02/03/2023,"United States, Canada",ES_31649_SHX65CM**_02032023082643_8920230,No
3619537,Bosch,"SHX78CC5UC, SHE78D7***",,825225974086,Standard,24,34,15,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",221,307,28,2.59,5,48,No,,,,,08/16/2024,08/12/2024,"United States, Canada",ES_31649_SHX78CC5UC_07292024164035_8708612,Yes
2407870,Bosch,SHX78CM**,,825225965978;825225965985;825225965992;825225966166,Standard,24,34,13,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,12/28/2022,"United States, Canada",ES_31649_SHX78CM**_12252022174328_4263705,No
4497585,Bosch,SHX78DC**,,825225982043,Standard,24,34,16,Yes,Stainless Steel,Condensation Dry,"Cycle Status Lights,Third Rack",215,307,30,2.35,5,53,No,,,,,09/01/2025,08/29/2025,"United States, Canada",ES_31649_SHX78DC**_08292025105637_3391382,Yes
3994456,Bosch,SHX78DM**,",SHP78DM**,; ,SHP78DP**,; ,SHV78DM**,",825225975892;825225975908;825225975915;825225980636,Standard,24,34,16,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,2.3,5,54,Yes,,,Wifi Communication,,04/01/2025,02/13/2025,"United States, Canada",ES_31649_SHX78DM**_02072025115816_374872,No
2407876,Bosch,SHX9PCM**,",SHX9PCM**,1st * - Color Code, 2nd * - Country Code",825225966012,Standard,24,34,13,Yes,Stainless Steel,Mineral Dry,"Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,06/01/2023,02/03/2023,"United States, Canada",ES_31649_SHX9PCM**_12282022073148_5309854,No
2649236,Bosch,SPE53C56UC,",SPE53C52UC,; ,SPE53C55UC,; ,SPE68C75UC,; ,SPV68C73UC,; ,SPX68C75UC,",825225965305;825225965374;825225965428;825225970538;825225970545;825225970552,Standard,18,32,10,Yes,Stainless Steel,"Condensation Dry,Mineral Dry","Top Controls,Cycle Status Lights,Third Rack",240,307,22,3.18,5,36,No,,,,,09/01/2023,08/28/2023,"United States, Canada",ES_31649_SPE53C56UC_08072023114005_8789026,No
3354538,BRAMA,BRDW2400SS,,657433000024,Standard,23.5,22.4,15,Yes,Stainless Steel,Fan-Assisted Dry,"Top Controls,Third Rack",234,307,24,3,5,40,No,,,,,01/02/2024,12/29/2023,"United States, Canada",ES_1131312_BRDW2400SS_122620231914153_6493163,No
3387577,Cafe,CDD220**W***,,084691943730;084691943747;084691943754,Compact,23.6,25.2,7,No,Plastic,Fan-Assisted Dry,"Top Controls,Cycle Status Lights,Hard Food Filter",155,222,30,2,3.5,43,No,,,,,01/18/2024,01/18/2024,United States,ES_1123206_CDD220**W***_01192024110248_80196871,No
3009735,Cafe,CDP888**V***,,084691914631,Standard,23.8,24,16,Yes,Stainless Steel,Heated Dry,"Top Controls,Cycle Status Lights,Hard Food Filter,Third Rack",240,307,22,3.2,5,36,No,,,,,01/16/2024,12/20/2023,"United States, Canada",ES_1123206_CDP888**V***_12202023165638_80194723,No
2408233,Cafe,CDT805**N***,,084691843382;084691843436,Standard,23.8,24,12,Yes,Stainless Steel,Fan-Assisted Dry,"Top Controls,Hard Food Filter,Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,02/27/2023,02/16/2023,"United States, Canada",ES_1123206_CDT805**N***_02172023081908_80153105,No
2788125,Cafe,CDT828**V***,,084691914587,Standard,23.8,24,16,Yes,Stainless Steel,Heated Dry,"Top Controls,Cycle Status Lights,Hard Food Filter,Third Rack",240,307,22,3.2,5,36,No,,,,,12/04/2023,11/29/2023,"United States, Canada",ES_1123206_CDT828**V***_11302023110827_80191260,No
2408234,Cafe,CDT84***N***,,084691843412;084691843429;084691845096;084691845102,Standard,23.8,24,12,Yes,Stainless Steel,Fan-Assisted Dry,"Top Controls,Hard Food Filter,Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,02/27/2023,02/16/2023,"United States, Canada",ES_1123206_CDT84***N***_02172023081908_80153105,No
2788124,Cafe,CDT858**V***,,084691914600;084691914617;084691914624,Standard,23.8,24,16,Yes,Stainless Steel,Heated Dry,"Top Controls,Cycle Status Lights,Hard Food Filter,Third Rack",240,307,22,3.2,5,36,No,,,,,12/04/2023,11/29/2023,"United States, Canada",ES_1123206_CDT858**V***_11302023110827_80191260,No
2408223,Cafe,CDT87***N***,,084691843443;084691843450;084691843467;084691843498,Standard,23.8,24,12,Yes,Stainless Steel,Fan-Assisted Dry,"Top Controls,Hard Food Filter,Cycle Status Lights,Third Rack",240,307,22,3.2,5,36,No,,,,,02/27/2023,02/16/2023,"United States, Canada",ES_1123206_CDT87***N***_02172023081908_80153105,No
3009734,Cafe,CDT888**V***,,084691914594;084691914648;084691914655,Standard,23.8,24,16,Yes,Stainless Steel,Heated Dry,"Top Controls,Cycle Status Lights,Hard Food Filter,Third Rack",240,307,22,3.2,5,36,No,,,,,01/16/2024,12/20/2023,"United States, Canada",ES_1123206_CDT888**V***_12202023165638_80194723,No
2508275,Comfee,C*14EFSBK1RCM,",,* could be A-Z, a-z, 0-9, - or blank",687636002310;687636004796,Standard,23.9,24.5,14,Yes,Stainless Steel,Heated Dry,None,240,307,22,3.2,5,36,No,,,,,05/18/2023,06/13/2023,Canada,ES_1030337_C*14EFSBK1RCM_061320230555182_3658242,No
3418894,Comfee,CDC22P****,,810040944444;810040944451;810040946578;840296500484;840296500491,Compact,21.7,19.7,6,Yes,Hybrid (Plastic & Steel),Air Dry,None,155,222,30,2,3.5,43,No,,,,,10/01/2023,10/18/2023,"United States, Canada",ES_1030337_CDC22P****_03192024121251_80186729,No
2472612,COSMO,COS-DIS6502,,854115007399,Standard,23.9,24.5,8,Yes,Stainless Steel,Heated Dry,None,240,307,22,3.2,5,36,No,,,,,04/10/2023,05/04/2023,United States,ES_1141090_COS-DIS6502_050420230710809_2817847,No
3845127,COSMO,COS-DWD24FBR,,850036237228,Standard,23.6,22.7,12,Yes,Hybrid (Plastic & Steel),Heated Dry,Top Controls,240,307,22,3.2,5,36,No,,,,,11/01/2023,12/09/2024,United States,ES_1141090_COS-DWD24FBR_120920240314215_6065359,No
3891960,COSMO,COS-DWV24TTR,,850036237464,Standard,23.9,24.5,14,Yes,Stainless Steel,Heated Dry,None,240,307,22,3.2,5,36,No,,,,,12/01/2024,12/23/2024,United States,ES_1141090_COS-DWV24TTR_12232024092974_1211697,No
3554076,COSTWAY,FP10851,,,Standard,23.9,22.6,14,Yes,Stainless Steel,Automatic Door Release,None,240,307,22,3.2,5,36,No,,,,,05/30/2024,07/11/2024,"United States, Canada",ES_1144027_FP10851_071120240246375_6204871,No
3554077,COSTWAY,FP10852,,,Standard,23.9,22.6,15,Yes,Stainless Steel,Automatic Door Release,None,240,307,22,3.2,5,36,No,,,,,05/30/2024,07/11/2024,"United States, Canada",ES_1144027_FP10852_071120240246191_5524098,No
3624386,Cove,DW2451,",DW2451WS,",5910009;5910010,Standard,23.5,23,10,Yes,Stainless Steel,Fan-Assisted Dry,"Top Controls,Cycle Status Lights,Third Rack",231,307,25,3.2,5,36,No,,,,,09/09/2024,09/06/2024,"United States, Canada",ES_31863_DW2451_08262024113549_1147882,No
3624420,Cove,DW2451/ADA,",DW2451WS/ADA,",5910011;5910012,Standard,23.5,23,10,Yes,Stainless Steel,Fan-Assisted Dry,"Top Controls,Cycle Status Lights,Third Rack",225,307,27,3.2,5,36,No,,,,,09/09/2024,08/27/2024,"United States, Canada",ES_31863_DW2451_08262024165251_6643030,Yes
2470959,Criterion,CDW2FCM*,",,Remark: * could be A-Z, a-z, 0-9, - or blank.",810040943140;810040943157,Standard,23.9,24.5,8,Yes,Stainless Steel,Heated Dry,None,240,307,22,3.2,5,36,No,,,,,04/10/2023,05/02/2023,Canada,ES_1062598_CDW2FCM*_050220230109668_2730397,No
3619543,Criterion,CDW4FCM*,",,(Remark: * could be A-Z, a-z, 0-9, - or blank.)",840296511688;840296511695;840296511701,Standard,23.6,22.7,12,Yes,Hybrid (Plastic & Steel),Heated Dry,None,240,307,22,3.2,5,36,No,,,,,07/01/2024,08/13/2024,United States,ES_1062598_CDW4FCM*_081320240221286_5210829,No
2508301,Criterion,CDW5TCM*,",,* could be A-Z, a-z, 0-9, - or blank",810040943164,Standard,23.9,24.5,8,Yes,Stainless Steel,Heated Dry,None,240,307,22,3.2,5,36,No,,,,,05/19/2023,06/14/2023,United States,ES_1062598_CDW5TCM*_061420230156223_5260902,No
3619544,Criterion,CDW7TCM*,",,(Remark: * could be A-Z, a-z, 0-9, - or blank.)",840296511718,Standard,23.6,22.7,14,Yes,Hybrid (Plastic & Steel),Heated Dry,None,240,307,22,3.2,5,36,No,,,,,07/01/2024,08/13/2024,United States,ES_1062598_CDW7TCM*_081320240219344_3261182,No
3619522,Crosley,CDBEH351****,",CDBEH351UB,; ,CDBEH351US,; ,CDBEH351UW,",012505116575;012505116582;012505116599,Standard,24,25,12,Yes,Plastic,Heated Dry,Top Controls,240,307,22,3.2,5,36,No,,,,,09/02/2024,08/09/2024,United States,ES_92264_CDBEH351****_080820242200672_8100716,No
2485665,Crosley,CDMH2450**,",,Remark: * could be A-Z, a-z, 0-9, - or blank",850029962861;850029962878;856284006876,Standard,23.9,24.5,8,Yes,Stainless Steel,Heated Dry,None,240,307,22,3.2,5,36,No,,,,,04/01/2023,05/16/2023,United States,ES_92264_CDMH2450**_05162023081256_9583268,No
2507597,Crosley,CDPM1204**,,850029962571;850029962588;850029962595,Standard,23.5,23.6,10,Yes,Stainless Steel,Air Dry,None,240,307,22,3.2,5,36,No,,,,,04/01/2023,04/14/2023,"United States, Canada",ES_0092264_CDPM1204**_05292023110806_80164647,No
3354415,AEG,F8242FI,,51497410025,Standard,23.5,21.7,15,Yes,Stainless Steel,Fan-Assisted Dry,"Top Controls,Cycle Status Lights,Third Rack",234,307,24,3,5,40,No,,,,,01/01/2024,12/27/2023,"United States, Canada",ES_1149287_F8242FI_121920231133621_6458430,No
3354416,AEG,F8242FI-18,,51497410001,Standard,17.6,21.7,10,Yes,Stainless Steel,Fan-Assisted Dry,"Top Controls,Third Rack",234,307,24,3,5,40,No,,,,,01/01/2024,12/27/2023,"United States, Canada",ES_1149287_F8242FI-18_121920231133969_5863897,No
3354417,AEG,F8642FI,,51497410032,Standard,23.5,21.7,15,Yes,Stainless Steel,Fan-Assisted Dry,"Top Controls,Cycle Status Lights,Third Rack",234,307,24,3,5,40,No,,,,,01/01/2024,12/27/2023,"United States, Canada",ES_1149287_F8642FI_12192023113332_4077297,No
3354418,AEG,F8642SS,,51497410018,Standard,23.5,22.4,15,Yes,Stainless Steel,Fan-Assisted Dry,"Top Controls,Cycle Status Lights,Third Rack",234,307,24,3,5,40,No,,,,,01/01/2024,12/27/2023,"United States, Canada",ES_1149287_F8642SS_121920231133557_1899253,No
3478049,Amana,ADFS2524R**,",ADFS2524RB,; ,ADFS2524RS,; ,ADFS2524RW,; ,ADFS2524RZ,",883049701219;883049701226;883049701233;883049701240,Standard,23.9,25.3,12,No,Plastic,Heated Dry,"Front Controls,Cycle Status Lights,Hard Food Filter",240,307,22,3.2,5,36,No,,,,,06/21/2024,05/14/2024,"United States, Canada",ES_22856_ADFS2524R**_050920242008153_8283642,No
