ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Fuel,Vent Type,Storage Volume (gallons),First Hour Rating (gallons),Maximum Gallons Per Minute,Minimum Gallons Per Minute,Draw Pattern (Intended Usage),Uniform Energy Factor (UEF),Therms/year for Natural Gas,Gallons/year for Propane,Max. Input Rate for Gas Products (Btu/hr),Max. Amps,Recovery Efficiency (%),Tank Height (inches),Height to Vent (inches),Tank Diameter (inches),Vent Size 1 (inches),Vent Size 2 (inches),Water Heater Depth (inches),Water Heater Height (inches),Water Heater Width (inches),Connected Capable,Connects Using,DR Protocol,Communication Hardware Architecture,Load Up Functionality,Optional Operational Mode Functionality,Time of Use Schedule,Primary Communication Module/Device Brand Name and Model Number,Is Broadband Internet Connection Needed for Demand Response?,Refrigerant Type,Refrigerant with GWP,Sound Pressure Level,Date Available On Market,Date Certified,Markets,CB Model Identifier,Tax Credit Eligible
2408703,A.O. Smith Corporation,American,PG10 34 100 2*V 2**,PG10 34 100 2*V 2**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,33,170,,,High-Usage,0.9,188,205.46,100000,5,95,49,7,22,2,,,,,No,,,,,,,,,,,,10/25/2017,02/23/2023,United States,ES_92897_PG10 34 100 2*V 2**_02212023100521_8748322,Yes
2408702,A.O. Smith Corporation,American,GSP-100 2**,PR-34-100 * 2**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,33,170,,,High-Usage,0.9,188,205.46,100000,5,95,49,7,22,2,,,,,No,,,,,,,,,,,,10/25/2017,02/23/2023,United States,ES_92897_PR-34-100 * 2**_02212023100521_9356702,Yes
2408701,A.O. Smith Corporation,A. O. Smith,SWN100035 2**,GSP-100 2**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,33,170,,,High-Usage,0.9,188,205.46,100000,5,95,49,7,22,2,,,,,No,,,,,,,,,,,,10/25/2017,02/23/2023,United States,ES_92897_GSP-100 2**_02212023100521_7107599,Yes
2408699,A.O. Smith Corporation,Lochinvar,GHX-34-100 N 2**,SWL100035 2**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,33,170,,,High-Usage,0.9,188,205.46,100000,5,95,49,7,22,2,,,,,No,,,,,,,,,,,,10/25/2017,02/23/2023,United States,ES_92897_SWL100035 2**_02212023100522_3119877,Yes
2408700,A.O. Smith Corporation,Lochinvar,SWL100035 2**,SWN100035 2**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,33,170,,,High-Usage,0.9,188,205.46,100000,5,95,49,7,22,2,,,,,No,,,,,,,,,,,,10/25/2017,02/23/2023,United States,ES_92897_SWN100035 2**_02212023100521_6908519,Yes
2408698,A.O. Smith Corporation,State,GHX-34-100 N 2**,GHX-34-100 N 2**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,33,170,,,High-Usage,0.9,188,205.46,100000,5,95,49,7,22,2,,,,,No,,,,,,,,,,,,10/25/2017,02/23/2023,United States,ES_92897_GHX-34-100 N 2**_02212023100522_4825332,Yes
2408829,Ariston USA LLC,HTP,Phoenix,PH100-119****,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Direct Vent,112,178,,,High-Usage,0.9,188,205.46,100000,1,96,74,10.5,27,3,3,,,,No,,,,,,,,,,,,08/20/2007,11/12/2024,"United States, Canada",ES_29975_PH100-119****_02212023095501_1222033,Yes
2408831,Ariston USA LLC,HTP,Phoenix,PH100-55****,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,53,187,,,High-Usage,0.89,190,207.65,100000,1,99,52,5.2,23,3,3,,,,No,,,,,,,,,,,,08/20/2007,11/12/2024,"United States, Canada",ES_29975_PH100-55****_02212023095500_3256907,Yes
2408830,Ariston USA LLC,HTP,Phoenix,PH100-80****,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,75,132,,,High-Usage,0.93,182,198.9,100000,1,99,72,7.8,23,3,3,,,,No,,,,,,,,,,,,08/20/2007,11/12/2024,"United States, Canada",ES_29975_PH100-80****_02212023095500_3135016,Yes
2408833,Ariston USA LLC,HTP,Phoenix Light Duty,PH76-50****,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Direct Vent,48,154,,,High-Usage,0.9,188,205.46,76000,0.7,96,44.7,6.8,23,2,2,,,,No,,,,,,,,,,,,06/01/2013,11/12/2024,"United States, Canada",ES_29975_PH76-50****_02212023095453_266477,Yes
